source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
teacher,teacher,illumina,,dv_illumina,test,illumina_view,view,illumina_view,"10,11",ALL,183851,0.9990263854969513,0.9990602275008921,0.9990639470515245,0.9990565382063067,0.9990264144785075,0.9994382879015239,0.9992698973042362,0.9988177872354799,0.999043842269858,0.99935408550895,0.999303570883928,124549,59141,70,91,0.999124290865973,0.999043842269858,0.9994382879015239,0.9992698973042362,0.9988177872354799,0.99935408550895,0.999303570883928
teacher,teacher,illumina,,dv_illumina,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,168004,0.9990357372443514,0.9990780016798162,0.9990769653896449,0.9990790616306002,0.9990357672325567,0.9994290047731632,0.9992774437565788,0.9988551393510071,0.9990662915537929,0.9993532185179689,0.9993077522821655,112021,55838,64,81,0.9991369253113022,0.9990662915537929,0.9994290047731632,0.9992774437565788,0.9988551393510071,0.9993532185179689,0.9993077522821655
teacher,teacher,illumina,,dv_illumina,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,15847,0.998927241749227,0.9987379974772849,0.998844612065831,0.9986317217618566,0.9989273797037899,0.999521302058401,0.9992024246291273,0.9981867633726198,0.9986945940008736,0.9993618379063282,0.9992661838367012,12528,3303,6,10,0.998990345175743,0.9986945940008736,0.999521302058401,0.9992024246291273,0.9981867633726198,0.9993618379063282,0.9992661838367012
teacher,teacher,illumina,,dv_illumina,test,group_10,group,group_10,10,ALL,61373,0.9989571961611784,0.9918853313498778,0.9978946484833012,0.9860781053929392,0.9989657368278521,0.9767536704730828,0.9975010412328192,0.9990334395984535,0.9982672404156363,0.9870183391711461,0.9932813536826106,2395,58915,57,6,0.99897348997116,0.9982672404156363,0.9767536704730828,0.9975010412328192,0.9990334395984535,0.9870183391711461,0.9932813536826106
teacher,teacher,illumina,,dv_illumina,test,group_11,group,group_11,11,ALL,122478,0.9990610558630938,0.9402708256587285,0.9813515990178869,0.9087430066556589,0.999113213713162,0.9998935882848887,0.9993046409083844,0.9456066945606655,0.972455667734525,0.9995990278466069,0.9994223748735979,122154,226,13,85,0.9991998563007234,0.972455667734525,0.9998935882848887,0.9993046409083844,0.9456066945606655,0.9995990278466069,0.9994223748735979
teacher,teacher,illumina,,dv_illumina,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,168004,0.9990357372443514,0.9990780016798162,0.9990769653896449,0.9990790616306002,0.9990357672325567,0.9994290047731632,0.9992774437565788,0.9988551393510071,0.9990662915537929,0.9993532185179689,0.9993077522821655,112021,55838,64,81,0.9991369253113022,0.9990662915537929,0.9994290047731632,0.9992774437565788,0.9988551393510071,0.9993532185179689,0.9993077522821655
teacher,teacher,illumina,,dv_illumina,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,15847,0.998927241749227,0.9987379974772849,0.998844612065831,0.9986317217618566,0.9989273797037899,0.999521302058401,0.9992024246291273,0.9981867633726198,0.9986945940008736,0.9993618379063282,0.9992661838367012,12528,3303,6,10,0.998990345175743,0.9986945940008736,0.999521302058401,0.9992024246291273,0.9981867633726198,0.9993618379063282,0.9992661838367012
teacher,teacher,ont,,dv_ont,test,ont_view,view,ont_view,"1,11",ALL,409353,0.9982606698863817,0.9976996539348768,0.9967410052196485,0.9986689258219993,0.9982581607309571,0.9994688066946701,0.9951828012986907,0.9997730922292816,0.9974779467639862,0.9973211992215469,0.9960370591165191,122301,286395,65,592,0.9983950282519,0.9974779467639862,0.9994688066946701,0.9951828012986907,0.9997730922292816,0.9973211992215469,0.9960370591165191
teacher,teacher,ont,,dv_ont,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,114214,0.998397744584727,0.9865143122432007,0.9898827859766817,0.983219825578613,0.9984047413123671,0.9995008467777877,0.9991179064980888,0.9717314487632505,0.9854246776306697,0.9993093399512875,0.9991944710773909,112134,1925,56,99,0.9986428984187578,0.9854246776306697,0.9995008467777877,0.9991179064980888,0.9717314487632505,0.9993093399512875,0.9991944710773909
teacher,teacher,ont,,dv_ont,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,295139,0.9982076242041885,0.9829844819089818,0.9701439056926163,0.9970117658075206,0.9981711638666743,0.9991155660377357,0.9537523452157597,0.9999683632183747,0.9768603542170672,0.9759070838927617,0.9624924265372184,10167,284470,9,493,0.9982991065226893,0.9768603542170672,0.9991155660377357,0.9537523452157597,0.9999683632183747,0.9759070838927617,0.9624924265372184
teacher,teacher,ont,,dv_ont,test,group_1,group,group_1,1,ALL,286875,0.9984348583877996,0.7642023490419506,0.7268998431282094,0.8521016155746954,0.9981371223815202,0.8230337078651662,0.44801223241590143,0.9997798903644387,0.72389606139017,0.5801980198015225,0.49293405114387806,293,286158,63,361,0.9985220043572984,0.72389606139017,0.8230337078651662,0.44801223241590143,0.9997798903644387,0.5801980198015225,0.49293405114387806
